,DIV_NAME,SCH_NAME,GENDER,FEDERAL_RACE_CODE,DISABILITY_FLAG,DISADVANTAGED_FLAG,LEP_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE,DIPLOMA_CNT,DROPOUT_CNT
20053,Albemarle County,Monticello High,,,,Y,,97,88.66,4.12,86.0002,3.9964
20054,Albemarle County,Monticello High,,,,Y,N,83,89.16,2.41,74.0028,2.0003
20055,Albemarle County,Monticello High,,,,Y,Y,14,85.71,14.29,11.999399999999998,2.0006
20056,Albemarle County,Monticello High,,,N,,,253,91.7,3.95,232.00100000000003,9.993500000000001
20057,Albemarle County,Monticello High,,,N,,N,237,92.41,2.95,219.0117,6.991500000000001
20058,Albemarle County,Monticello High,,,N,,Y,16,81.25,18.75,13.0,3.0
20059,Albemarle County,Monticello High,,,N,N,,178,93.82,3.93,166.9996,6.995400000000001
20060,Albemarle County,Monticello High,,,N,N,N,175,94.29,3.43,165.0075,6.0025
20061,Albemarle County,Monticello High,,,N,Y,,75,86.67,4.0,65.0025,3.0
20062,Albemarle County,Monticello High,,,N,Y,N,62,87.1,1.61,54.001999999999995,0.9982000000000001
20063,Albemarle County,Monticello High,,,N,Y,Y,13,84.62,15.38,11.000599999999999,1.9994
20064,Albemarle County,Monticello High,,,Y,,,49,95.92,4.08,47.0008,1.9992
20065,Albemarle County,Monticello High,,,Y,,N,48,95.83,4.17,45.998400000000004,2.0016
20066,Albemarle County,Monticello High,,,Y,N,,27,96.3,3.7,26.000999999999998,0.9990000000000001
20067,Albemarle County,Monticello High,,,Y,N,N,27,96.3,3.7,26.000999999999998,0.9990000000000001
20068,Albemarle County,Monticello High,,,Y,Y,,22,95.45,4.55,20.999000000000002,1.001
20069,Albemarle County,Monticello High,,,Y,Y,N,21,95.24,4.76,20.0004,0.9995999999999999
20070,Albemarle County,Monticello High,,3.0,,,,46,93.48,2.17,43.0008,0.9982
20071,Albemarle County,Monticello High,,3.0,,,N,45,95.56,0.0,43.001999999999995,0.0
20072,Albemarle County,Monticello High,,3.0,,N,,22,95.45,4.55,20.999000000000002,1.001
20073,Albemarle County,Monticello High,,3.0,,N,N,21,100.0,0.0,21.0,0.0
20074,Albemarle County,Monticello High,,3.0,,Y,,24,91.67,0.0,22.000799999999998,0.0
20075,Albemarle County,Monticello High,,3.0,,Y,N,24,91.67,0.0,22.000799999999998,0.0
